properties_id,keyset,Console
24163,592,"1254WAT - Waterworks Rd, 1254"
12422,351,"2/123WAT - Waterworks Rd, 123, 2"
18598,546,"2/168WAT - Waterworks Rd, 168, 2"
31196,98,"2/263WAT - Waterworks Rd, 263, 2"
1115,509,"2/640WA - Waterworks Road, 640/2"
31071,265,"2/834WAT - Waterworks Rd, 834, 2"
52048,567,"2/871AWA - Waterworks Rd, 871A, 2"
40754,358,"3/123WAT - Waterworks Rd, 123, 3"
43211,82,"3/168WAT - Waterworks Rd, 168, 3"
41122,60,"3/263WAT - Waterworks Rd, 263, 3"
1176,25,"305WAT - Waterworks Rd, 305"
51472,541,"382AWAT - Waterworks Rd, 382A"
18768,430,"394WATE - Waterworks Road, 394"
9016,360,"4/123WAT - Waterworks Rd, 123, 4"
219,632,"4/287WAT - Waterworks Rd, 287, 4"
18806,639,"452WATE - Waterworks Rd, 452"
31008,361,"5/123WAT - Waterworks Rd, 123, 5"
18676,50,"5/229WAT - Waterworks Rd, 229, 5"
18625,9,"6/185WAT - Waterworks Rd, 185, 6"
18879,101,"647WATE - Waterworks Rd, 647"
23799,496,"834WATE - Waterworks Rd, 834"
18914,144,"23WEATH - Weatherhead Ave, 23"
12727,14,"46WEATH - Weatherhead Ave, 46"
40894,78,"1/15WELL - Wellington St, 15, 1"
50951,214,"1/22WELL - Wellington St, 22, 1"
18951,99,"22WESS - Wessex Lne, 22"
29324,492,"3/25WHIT - Whitta St, 25, 3"
41009,115,"11WILGA - Wilgarning St, 11"
36956,586,"3WILLA - Willandra St, 3"
31125,607,"37WILL - Willandra St, 37"
1208,8,"15WILL - Willowood Plc, 15"
12822,524,"1/121WIN - Windsor Rd, 121, 1"
10010,297,"1/35WIND - Windsor Rd, 35, 1"
12773,280,"121WINDS - Windsor Rd, 121"
41136,279,"2/121WIN - Windsor Rd, 121, 2"
18977,10,"25WOODL - Woodland St, 25"
18979,3,"28WOOD - Woodland St, 28"
18958,359,"5/2WOOD - Woodland St, 2, 5"
30083,240,"22WOOD - Woodmere St, 22"
12735,529,"45WOODSI - Woodside Street, 45"
25218,373,"12WOORAM - Woorama Road, 12"
3957,535,"78WOORA - Woorama Road, 78"
9069,332,"49YARRA - Yarrabee Rd, 49"
25289,484,"59YOORAL - Yoorala Street, 59"
42046,419,"91AYOOR - Yoorala St, 91a"
14110,271,"46GERL - Gerler St, 46"
44933,30,"29ELIZ - Elizabeth St, 29"
52886,252,"1/165SHE - Sherwood Rd, 165, 1"
7590,281,"30CELIA - Celia St, 30"
52877,288,"7HERB - Herbert St, 7"
36538,329,"118SAMF - Samford Rd, 118"
5203,313,"88MCLEA - McLean Pde, 88"
18024,37,"34STVIN - St Vincent St, 34"
25042,325,"7/35GLOB - Globe St, 35, 7"
50564,369,"204/99GR - Gregory Tce, 99, 204"
52927,38,6Antill
28977,85,39Morris
52881,254,"28LUDL - Ludlow St, 28"
52933,150,"5/32FLEM - Fleming Rd, 32, 5"
29345,406,31Bromwich
1461,340,72Jubilee
17742,362,"21PAVO - Pavonia St, 21"
7228,380,"689WATE - Waterworks Rd, 689"
7184,384,33Maygar
4027,310,"4/88ALDE - Alderley Ave, 88, 4"
20146,29,"30CEDAR - Cedarhurst St, 30"
52938,259,43/66Illowra
47777,309,4/26Scott
18273,415,37Trinder
