properties_id,keyset,Console
5299,173,"8/55DAL - Dalmore St, 55, 8"
21351,220,"9/46DALM - Dalmore St, 46, 9"
20445,336,"19DAND - Dandaloo Street, 19"
16617,327,"22DAVI - Davies Rd, 22"
16620,598,"26aDAV - Davies Rd, 26a"
41148,368,"12DELM - Delmara Cls, 12"
20520,462,"17DESB - Desbet Street, 17"
20524,311,"21DESB - Desbet Street, 21"
42111,175,"23bDEVO - Devonhill St, 23b"
7551,331,"1/22DEVO - Devoy St, 22, 1"
50750,551,"27DEVO - Devoy St, 27"
24998,520,"3/22DEVO - Devoy St, 22, 3"
897,314,"3/43DEV - Devoy St, 43, 3"
2527,299,"34DEVOY - Devoy St, 34"
24995,587,"5/16DEV - Devoy St, 16, 5"
782,499,"6/45DEV - Devoy Street, 45, 6"
26588,269,"9/41DEVO - Devoy St, 39, 9"
20585,445,"3DONC - Doncella St, 3"
28440,61,"1/31DOR - Dorset St, 31, 1"
29857,91,"1/35DORS - Dorset St, 35, 1"
40973,15,"1/45DORS - Dorset St, 45, 1"
40955,197,"10/35DOR - Dorset St, 35, 10"
40942,34,"11/35DOR - Dorset St, 35, 11"
31474,110,"12/35DOR - Dorset St, 35, 12"
24673,134,"13/35DOR - Dorset St, 35, 13"
40968,92,"14/35DOR - Dorset St, 35, 14"
30566,49,"15/35DOR - Dorset St, 35, 15"
12823,200,"16/35DOR - Dorset St, 35, 16"
29312,81,"19/35DOR - Dorset St, 35, 19"
40564,104,"2/35DORS - Dorset St, 35, 2"
40969,5,"2/45DORS - Dorset St, 45, 2"
31561,109,"3/35DOR - Dorset St, 35, 3"
40935,32,"3/45DORS - Dorset St, 45, 3"
5266,55,"37DORSET - Dorset St, 37"
24656,195,"4/17DOR - Dorset St, 17, 4"
33592,119,"4/35DORS - Dorset St, 35, 4"
41684,194,"5/35DORS - Dorset St, 35, 5"
40884,117,"6/35DORS - Dorset St, 35, 6"
40971,141,"7/35DORS - Dorset St, 35, 7"
12287,135,"8/35DOR - Dorset St, 35, 8"
30565,158,"9/35DORS - Dorset St, 35, 9"
20682,530,"12DULZUR - Dulzura Street, 12"
29443,303,"19DULZ - Dulzura St, 19"
20702,298,"20DUNG - Dungory st, 20"
31470,469,"5/63DUN - Dunmore Tce, 63, 5"
37995,571,"30EDG - Edgar St, 30"
20727,428,"3EDINA - Edina St, 3"
16756,617,"25ELIM - Elimatta Dr, 25"
52879,251,"1/48ELIZ - Elizabeth St, 48, 1"
40908,425,"5/115E - Elizabeth St, 115, 5"
13937,553,"171EMP - Empress Tce, 171"
8473,154,"39EMPR - Empress Tce, 39"
13897,84,"59EMPRE - Empress Tce, 59"
20846,495,"34ERANG - Eranga Street, 34"
43242,634,"59EURE - Eureka St, 59"
20863,540,"9EXTA - Extasis Street, 9"
1959,347,"23FARR - Farrell St, 23"
35861,229,"24FERN - Fern St, 24"
21423,201,"6FIN - Findlay St, 6"
1760,213,"8FINDL - Findlay St, 8"
15667,122,"1/32FL - Fleming Rd, 32, 1"
14032,166,"141FLE - Fletcher Pde, 141"
2603,390,"245FLET - Fletcher Pde, 245"
29947,533,"247FLET - Fletcher Pde, 247"
13999,108,"41FLETCH - Fletcher Pde, 41"
14007,308,"71FLET - Fletcher Pde, 71"
4300,591,"91FLET - Fletcher Pde, 91"
9272,18,"96FLETCH - Fletcher Pde, 96"
6437,464,"38FRAS - Frasers RD, 38"
12740,112,"71FREDE - Frederick St, 71"
7135,394,"27GAVAN - Gavan St, 27"
3410,457,"27GEORG2 - Georganne St, 27"
4543,465,"20GLAD - Gladstone St, 20"
5216,342,"1GLEN - Glen Rd, 1"
12281,58,"10/48GLE - Glenalva Tce, 48, 10"
12212,46,"6/18GLEN - Glenalva Tce, 18, 6"
21025,404,"33GLENB - Glenbrae Street, 33"
21029,307,"37GLEN - Glenbrae St, 37"
1016,395,"73GLENBR - Glenbrae Street, 73"
40863,498,"4GLEN - Glenda St, 4"
6801,72,"63GLEN - Glenlyon Dv, 63"
21160,560,"3/1GLEN - Glenquarie Place, 1, 3"
9162,169,"53GLEN - Glenrosa Road, 53"
40954,338,"6/26GLEN - Glenrosa Rd, 26, 6"
34629,424,"67GLEN - Glenrosa Rd, 67"
25030,589,"1/12GLOB - Globe St, 12, 1"
37944,266,"1/36GLOB - Globe St, 36, 1"
50849,613,"1/40GLOB - Globe St, 40, 1"
4608,442,"2/15GL - Globe St, 15, 2"
30959,270,"2/36GLOB - Globe St, 36, 2"
50029,177,"2/40GLOB - Globe St, 40, 2"
25032,44,"3/12GLOB - Globe St, 12, 3"
2165,593,"3/16GLO - Globe St, 16, 3"
1785,275,"3/36GLOB - Globe St, 36, 3"
50850,614,"3/40GLOB - Globe St, 40, 3"
40811,274,"4/36GLOB - Globe St, 36, 4"
50851,615,"4/40GLOB - Globe St, 40, 4"
50852,616,"5/40GLOB - Globe St, 40, 5"
12634,352,"6/15GLO - Globe St, 15, 6"
49120,42,"6/40GLOB - Globe St, 40, 6"
3822,365,"7/33GLO - Globe St, 33, 7"
25043,588,"8/35GLOB - Globe St, 35, 8"
16897,486,"5GLORY - Glory St, 5"
34650,114,"28GRACE - Grace St, 28"
18448,504,"7GRACE - Grace St, 7"
3144,209,"1GRAMER - Gramere Ave, 1"
25058,474,"4/5GRA - Gramere Ave, 5, 4"
22675,389,"3GRANTON - Granton Place, 3"
41107,268,"12GRAY - Gray Rd, 12"
1107,90,"9GRAY - Gray St, 9"
38219,318,"7/20GR - Great George Street, 24, 7/20"
44032,41,"12/14GRE - Greenlanes Rd, 14, 12"
44023,256,"2/14GR - Greenlanes Rd, 14, 2"
612,396,"4GREEN - Greenwood St, 4"
41547,453,"5/251GRE - Gregory Tce, 251, 5"
22695,594,"8GREN - Grenoble St, 8"
1747,510,"18GREV - Grevillea Rd, 18"
1013,52,"67GREV - Grevillea Rd, 67"
50876,422,"1/6GRIF - Griffith St, 6, 1"
12355,531,"15GYMEA - Gymea Street, 15"
48097,458,"8/19HALC - Halcomb St, 19, 8"
49638,561,"2/33HANT - Hants St, 33, 2"
16998,45,"12HARD - Harding St, 12"
12598,523,"49HARD - Harding St, 49"
4416,295,"50HARD - Harding St, 50"
47628,590,"16HARR - Harriet St, 16"
40804,363,"11HART - Hartfield Drv, 11"
12739,337,"15HART - Hartfield Drv, 15"
22831,385,"3HARWA - Harward St, 3"
5952,181,"46HARWOO - Harwood St, 46"
30242,398,"1/67HA - Hassall St, 67, 1"
41085,476,"2/67HASS - Hassall St, 67, 2"
40934,479,"3/67HASS - Hassall St, 67, 3"
41086,483,"4/67HASS - Hassall St, 67, 4"
40669,485,"5/67HASS - Hassall St, 67, 5"
1907,324,"31HAVA - Havana St, 31"
43426,366,"30HAWTH - Hawthorne Ave, 30"
41073,432,"1/19HE - Hetherington St, 19, 1"
40886,431,"2/19HE - Hetherington St, 19, 2"
40995,246,"3/19HE - Hetherington St, 19, 3"
9231,261,"4/19HE - Hetherington St, 19, 4"
17076,147,"10HIGH - High St, 10"
10134,528,"6HIGH - High Street, 6"
25798,604,"44HILD - Hilda St, 44"
977,106,"5HILDA - Hilda St, 5"
50,243,"1AHILD - Hilder Rd, 1a"
42069,448,"1BHILD - Hilder Rd, 1b"
40834,402,"5AHILD - Hilder Road, 5a"
40835,511,"5BHIL - Hilder Rd, 5b"
50352,638,"5CHIL - Hilder Rd, 5c"
22892,357,"8HILDER - Hilder Road, 8"
48098,451,"17HILLG - Hillgrove St, 17"
23003,236,"4HOLLIS - Hollis St, 4"
30531,204,"1/14HOLM - Holmesbrook St, 14, 1"
24992,414,"1/45HOLM - Holmesbrook St, 45, 1"
413,77,"10HOLM - Holmesbrook St, 10"
9088,57,"15HOLMS - Holmesbrook St, 15"
31322,176,"2/14HOLM - Holmesbrook St, 14, 2"
2118,603,"2/45HOLM - Holmesbrook St, 45, 2"
4874,381,"23HOLM - Holmesbrook St, 23"
31326,199,"3/14HOLM - Holmesbrook St, 14, 3"
17111,210,"31HOLM - Holmesbrook St, 31"
25090,221,"4/41HOLM - Holmesbrook St, 41, 4"
1409,348,"68HOLM - Holmesbrook st, 68"
23032,393,"48ILLOW - Illowra St, 48"
23052,372,"24INWOO - Inwood Plc, 24"
2972,31,"33AJAL - Jaloon St, 33A"
52323,285,"1JEND - Jendi Crt, 1"
52749,138,"1/12JUBI - Jubilee St, 12, 1"
52750,517,"2/12JUBI - Jubilee St, 12, 2"
52751,152,"3/12JUBI - Jubilee St, 12, 3"
52752,439,"4/12JUBI - Jubilee St, 12, 4"
2146,40,"3/36JUB - Jubilee Tce, 36, 3"
2370,643,"3/40JUBI - Jubilee Tce, 40, 3"
12406,260,"4/12JUB - Jubilee Tce, 12, 4"
1433,481,"4/18JUB - Jubilee Tce, 18, 4"
25102,193,"5/40JUBI - Jubilee Tce, 40, 5"
189,323,"7/16JUBI - Jubilee Terrace, 16, 7"
25188,208,"74JUB - Jubilee Tce, 74"
4707,600,"81JUB - Jubilee Tce, 81"
44058,167,"4/15KADA - Kadanga St, 15, 4"
21837,417,"15/15K - Kaloma Rd, 15, 15"
23235,470,"36KALOMA - Kaloma Road, 36"
31490,289,"4/87KE - Kedron Park Rd, 87, 4"
5407,412,"2/22KEN - Kennedy Tce, 22, 2"
26058,601,"6KENN - Kennedy Tce, 6"
52047,278,"1/81KENT - Kent Rd, 81, 1"
41814,568,"2/81KENT - Kent Rd, 81, 2"
38230,56,"3/81KENT - Kent Rd, 81, 3"
50875,334,"5/204KEN - Kent St, 204, 5"
9095,471,"8KEVP - Kevpat Close, 8"
2277,555,"22KOO - Koorong St, 22"
12359,316,"71Koor2 - Koorong Street, 71"
41120,333,"9KRUSE - Kruse Pl, 9"
29419,386,"8/45LAC - Lacey Rd, 45, 8"
8968,294,"38/153L - Lambert St, 153, 38"
43497,544,"71LAM - Lamont Rd, 71"
